shot_id_number,power_of_shot,knockout_match,game_season,is_goal,home/away,lat/lng,type_of_shot,type_of_combined_shot,match_id,distance_of_shot_avg,remaining_min_1,area_of_shot_Center(C),area_of_shot_Left Side Center(LC),area_of_shot_Left Side(L),area_of_shot_Mid Ground(MG),area_of_shot_Right Side Center(RC),area_of_shot_Right Side(R),area_of_shot_U,shot_basics_Goal Area,shot_basics_Goal Line,shot_basics_Left Corner,shot_basics_Mid Ground Line,shot_basics_Mid Range,shot_basics_Penalty Spot,shot_basics_Right Corner,shot_basics_U
3945,1.0,0.0,2002-03,0.0,NOH,0,shot - 39,0,20200546,28.0,9.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3946,1.0,0.0,2002-03,0.0,NOH,0,shot - 52,0,20200546,42.0,7.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
3947,1.0,0.0,2002-03,0.0,NOH,0,0,shot - 3,20200546,38.0,6.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
3948,1.0,0.0,2002-03,1.0,NOH,0,shot - 22,0,20200546,37.0,3.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3949,1.0,0.0,2002-03,0.0,NOH,0,0,shot - 3,20200546,56.7,1.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
3950,2.0,0.0,2002-03,1.0,NOH,0,shot - 4,0,20200546,20.0,11.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3951,2.0,0.0,2002-03,1.0,NOH,0,0,shot - 3,20200546,43.0,91.64,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3952,2.0,0.0,2002-03,0.0,NOH,0,0,shot - 3,20200546,42.0,9.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
3953,2.0,0.0,2002-03,1.0,NOH,0,shot - 24,0,20200546,20.0,9.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3954,2.0,0.0,2002-03,1.0,NOH,0,0,shot - 3,20200546,63.7,1.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
3955,2.0,0.0,2002-03,5.0,NOH,0,0,shot - 1,20200546,20.0,17.2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3956,3.0,0.0,2002-03,0.0,NOH,0,shot - 36,0,20200546,32.2,10.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
3957,3.0,0.0,2002-03,1.0,NOH,0,shot - 4,0,20200546,20.0,8.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3958,3.0,0.0,2002-03,0.0,NOH,0,0,shot - 4,20200546,20.0,5.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3959,3.0,0.0,2002-03,1.0,NOH,0,shot - 51,0,20200546,65.2,4.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3960,3.0,0.0,2002-03,1.0,NOH,0,0,shot - 4,20200546,20.0,81.64,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3961,4.0,0.0,2002-03,0.0,NOH,0,shot - 22,0,20200546,40.864,102.2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
3962,4.0,0.0,2002-03,0.0,NOH,0,0,shot - 3,20200546,35.0,10.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
3963,4.0,0.0,2002-03,0.0,NOH,0,0,shot - 3,20200546,36.0,9.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
3964,4.0,0.0,2002-03,5.0,NOH,0,0,shot - 4,20200546,27.4,9.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3965,4.0,0.0,2002-03,0.0,NOH,0,shot - 6,0,20200546,52.7,8.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
3966,4.0,0.0,2002-03,5.0,NOH,0,0,shot - 3,20200546,61.2,5.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
3967,4.0,0.0,2002-03,0.0,NOH,0,shot - 50,0,20200546,30.0,2.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
3968,4.0,0.0,2002-03,0.0,NOH,0,0,shot - 3,20200546,30.0,1.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
3969,4.0,0.0,2002-03,5.0,NOH,0,0,shot - 4,20200546,20.0,21.2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3970,1.0,0.0,2002-03,1.0,HOU,0,shot - 43,0,20200563,45.0,11.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
3971,1.0,0.0,2002-03,1.0,HOU,0,shot - 38,0,20200563,44.0,10.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
3972,1.0,0.0,2002-03,0.0,HOU,0,0,shot - 3,20200563,45.0,6.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3973,1.0,0.0,2002-03,0.0,HOU,0,0,shot - 3,20200563,62.7,0.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
3974,1.0,0.0,2002-03,5.0,HOU,0,0,shot - 4,20200563,20.0,102.2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3975,1.0,0.0,2002-03,0.0,HOU,0,0,shot - 3,20200563,27.0,0.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3976,2.0,0.0,2002-03,5.0,HOU,0,shot - 39,0,20200563,20.0,8.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3977,2.0,0.0,2002-03,0.0,HOU,0,0,shot - 3,20200563,20.0,11.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
3978,2.0,0.0,2002-03,0.0,HOU,0,0,shot - 3,20200563,34.8279,5.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3979,2.0,0.0,2002-03,0.0,HOU,0,shot - 49,0,20200563,20.0,5.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3980,2.0,0.0,2002-03,0.0,HOU,0,0,shot - 3,20200563,53.7,3.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
3981,2.0,0.0,2002-03,0.0,HOU,0,shot - 14,0,20200563,44.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3982,3.0,0.0,2002-03,1.0,HOU,0,shot - 18,0,20200563,30.0,11.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
3983,3.0,0.0,2002-03,0.0,HOU,0,shot - 39,0,20200563,20.0,3.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3984,4.0,0.0,2002-03,5.0,HOU,0,shot - 26,0,20200563,32.0,7.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
3985,4.0,0.0,2002-03,1.0,HOU,0,shot - 35,0,20200563,39.0,2.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
3986,4.0,0.0,2002-03,0.0,HOU,0,shot - 41,0,20200563,57.7,17.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3987,4.0,1.0,2002-03,1.0,HOU,0,0,shot - 3,20200563,34.8279,0.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
3988,4.0,0.0,2002-03,0.0,HOU,0,0,shot - 4,20200563,20.0,0.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
3989,5.0,0.0,2002-03,0.0,HOU,0,0,shot - 3,20200563,40.0,2.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
3990,5.0,0.0,2002-03,0.0,HOU,0,0,shot - 3,20200563,46.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
3991,1.0,0.0,2002-03,5.0,LAC,1,0,shot - 3,20200587,45.0,8.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
3992,1.0,0.0,2002-03,0.0,LAC,1,0,shot - 3,20200587,37.0,5.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
3993,1.0,0.0,2002-03,5.0,LAC,1,shot - 12,0,20200587,20.0,5.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3994,1.0,0.0,2002-03,1.0,LAC,1,shot - 4,0,20200587,20.0,2.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3995,1.0,0.0,2002-03,1.0,LAC,1,shot - 12,0,20200587,20.0,1.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3996,2.0,0.0,2002-03,0.0,LAC,1,shot - 9,0,20200587,37.0,3.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
3997,2.0,0.0,2002-03,1.0,LAC,1,shot - 36,0,20200587,44.0,92.2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
3998,3.0,0.0,2002-03,1.0,LAC,1,shot - 46,0,20200587,20.0,8.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3999,3.0,0.0,2002-03,1.0,LAC,1,0,shot - 3,20200587,25.2,27.2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
4000,3.0,0.0,2002-03,0.0,LAC,1,shot - 39,0,20200587,20.0,0.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4001,3.0,0.0,2002-03,0.0,LAC,1,shot - 41,0,20200587,43.0,57.64,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
4002,4.0,0.0,2002-03,1.0,LAC,1,0,shot - 3,20200587,39.0,11.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
4003,4.0,0.0,2002-03,1.0,LAC,1,shot - 38,0,20200587,32.0,8.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
4004,4.0,0.0,2002-03,0.0,LAC,1,0,shot - 3,20200587,34.0,7.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
4005,4.0,0.0,2002-03,0.0,LAC,1,shot - 27,0,20200587,39.0,77.64,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
4006,4.0,0.0,2002-03,0.0,LAC,1,shot - 43,0,20200587,43.0,5.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
4007,4.0,0.0,2002-03,0.0,LAC,1,0,shot - 3,20200587,28.0,2.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
4008,4.0,0.0,2002-03,0.0,LAC,1,0,shot - 4,20200587,20.0,30.64,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4009,1.0,0.0,2002-03,5.0,GSW,1,0,shot - 3,20200602,32.0,11.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
4010,1.0,0.0,2002-03,1.0,GSW,1,shot - 40,0,20200602,38.0,82.2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
4011,1.0,0.0,2002-03,5.0,GSW,1,shot - 11,0,20200602,38.0,9.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
4012,1.0,0.0,2002-03,0.0,GSW,1,shot - 46,0,20200602,38.0,72.64,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4013,1.0,0.0,2002-03,1.0,GSW,1,shot - 24,0,20200602,45.0,4.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
4014,1.0,0.0,2002-03,1.0,GSW,1,shot - 38,0,20200602,38.0,4.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
4015,1.0,0.0,2002-03,0.0,GSW,1,shot - 4,0,20200602,20.0,2.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4016,1.0,0.0,2002-03,5.0,GSW,1,shot - 29,0,20200602,45.0,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
4017,1.0,0.0,2002-03,1.0,GSW,1,0,shot - 3,20200602,26.0,0.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
4018,2.0,0.0,2002-03,1.0,GSW,1,0,shot - 3,20200602,44.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
4019,2.0,0.0,2002-03,1.0,GSW,1,shot - 4,0,20200602,59.4,1.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4020,3.0,0.0,2002-03,5.0,GSW,1,shot - 11,0,20200602,33.0,6.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
4021,3.0,0.0,2002-03,0.0,GSW,1,0,shot - 3,20200602,31.0,6.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
4022,4.0,0.0,2002-03,0.0,GSW,1,shot - 22,0,20200602,27.0,7.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
4023,4.0,1.0,2002-03,1.0,GSW,1,shot - 46,0,20200602,20.0,0.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4024,4.0,0.0,2002-03,5.0,GSW,1,shot - 36,0,20200602,30.2,0.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
4025,4.0,0.0,2002-03,0.0,GSW,1,shot - 12,0,20200602,30.7,0.0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
4026,1.0,0.0,2002-03,1.0,NJN,1,0,shot - 3,20200616,34.0,9.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
4027,1.0,0.0,2002-03,0.0,NJN,1,shot - 11,0,20200616,35.0,34.2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
4028,1.0,0.0,2002-03,1.0,NJN,1,0,shot - 1,20200616,53.2,5.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4029,1.0,0.0,2002-03,0.0,NJN,1,0,shot - 3,20200616,42.0,71.2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
4030,1.0,0.0,2002-03,0.0,NJN,1,shot - 29,0,20200616,40.2,1.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
4031,1.0,0.0,2002-03,0.0,NJN,1,0,shot - 3,20200616,35.0,0.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
4032,2.0,0.0,2002-03,1.0,NJN,1,shot - 6,0,20200616,46.2,0.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
4033,3.0,0.0,2002-03,5.0,NJN,1,0,shot - 3,20200616,66.36399999999999,58.2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
4034,3.0,0.0,2002-03,0.0,NJN,1,shot - 10,0,20200616,31.0,4.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
4035,3.0,0.0,2002-03,5.0,NJN,1,shot - 39,0,20200616,27.0,3.0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
4036,3.0,0.0,2002-03,0.0,NJN,1,shot - 49,0,20200616,53.86400000000001,3.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4037,3.0,0.0,2002-03,0.0,NJN,1,shot - 29,0,20200616,40.0,1.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4038,4.0,0.0,2002-03,0.0,NJN,1,shot - 26,0,20200616,46.7,51.64,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
4039,4.0,0.0,2002-03,1.0,NJN,1,0,shot - 3,20200616,32.0,3.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
4040,3.0,0.0,2002-03,1.0,PHX,0,shot - 45,0,20200651,27.0,10.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
4041,1.0,0.0,2002-03,5.0,PHX,0,0,shot - 3,20200651,39.0,8.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
4042,1.0,0.0,2002-03,1.0,PHX,0,shot - 26,0,20200651,31.0,6.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
4043,1.0,0.0,2002-03,1.0,PHX,0,0,shot - 1,20200651,20.0,5.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4044,1.0,0.0,2002-03,0.0,PHX,0,shot - 36,0,20200651,33.0,4.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
4045,1.0,0.0,2002-03,5.0,PHX,0,shot - 56,0,20200651,20.0,3.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4046,1.0,0.0,2002-03,0.0,PHX,0,0,shot - 3,20200651,49.7,2.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
4047,1.0,0.0,2002-03,0.0,PHX,0,0,shot - 3,20200651,40.0,0.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
4048,2.0,0.0,2002-03,0.0,PHX,0,shot - 39,0,20200651,20.0,26.64,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4049,2.0,0.0,2002-03,1.0,PHX,0,shot - 36,0,20200651,36.0,8.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
4050,2.0,0.0,2002-03,1.0,PHX,0,0,shot - 4,20200651,20.0,5.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4051,2.0,0.0,2002-03,0.0,PHX,0,0,shot - 3,20200651,32.364000000000004,2.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
4052,2.0,0.0,2002-03,5.0,PHX,0,0,shot - 4,20200651,20.0,1.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4053,2.0,0.0,2002-03,0.0,PHX,0,shot - 39,0,20200651,27.7,0.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4054,3.0,0.0,2002-03,1.0,PHX,0,0,shot - 3,20200651,35.0,11.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
4055,3.0,0.0,2002-03,5.0,PHX,0,shot - 7,0,20200651,38.0,10.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
4056,3.0,0.0,2002-03,5.0,PHX,0,shot - 35,0,20200651,40.74,9.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
4057,3.0,0.0,2002-03,5.0,PHX,0,shot - 36,0,20200651,37.0,5.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
4058,3.0,0.0,2002-03,0.0,PHX,0,0,shot - 3,20200651,36.0,41.2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
4059,3.0,0.0,2002-03,0.0,PHX,0,shot - 44,0,20200651,35.0,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
4060,3.0,0.0,2002-03,0.0,PHX,0,0,shot - 4,20200651,20.0,42.64,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4061,4.0,0.0,2002-03,0.0,PHX,0,shot - 39,0,20200651,20.0,8.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4062,4.0,0.0,2002-03,0.0,PHX,0,0,shot - 3,20200651,31.0,7.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
4063,4.0,0.0,2002-03,1.0,PHX,0,shot - 37,0,20200651,42.4,7.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
4064,4.0,1.0,2002-03,1.0,PHX,0,0,shot - 3,20200651,37.0,5.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
4065,4.0,0.0,2002-03,0.0,PHX,0,0,shot - 3,20200651,42.0,4.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
4066,4.0,0.0,2002-03,1.0,PHX,0,0,shot - 3,20200651,40.0,4.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
4067,4.0,0.0,2002-03,5.0,PHX,0,shot - 12,0,20200651,20.0,1.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
4068,4.0,0.0,2002-03,1.0,PHX,0,shot - 56,0,20200651,33.7,0.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4069,1.0,0.0,2002-03,5.0,SAC,0,0,shot - 3,20200667,34.2,10.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
4070,1.0,0.0,2002-03,0.0,SAC,0,shot - 4,0,20200667,50.7,9.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4071,1.0,0.0,2002-03,0.0,SAC,0,0,shot - 3,20200667,29.0,6.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
4072,1.0,0.0,2002-03,1.0,SAC,0,shot - 36,0,20200667,44.0,4.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
4073,1.0,0.0,2002-03,1.0,SAC,0,shot - 4,0,20200667,20.0,3.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4074,1.0,0.0,2002-03,0.0,SAC,0,0,shot - 4,20200667,20.0,3.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4075,1.0,0.0,2002-03,0.0,SAC,0,shot - 4,0,20200667,20.0,2.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4076,1.0,0.0,2002-03,1.0,SAC,0,0,shot - 1,20200667,20.0,2.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4077,1.0,0.0,2002-03,5.0,SAC,0,shot - 10,0,20200667,45.2,0.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
4078,1.0,0.0,2002-03,0.0,SAC,0,shot - 29,0,20200667,67.0,0.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
4079,2.0,0.0,2002-03,5.0,SAC,0,shot - 46,0,20200667,20.0,8.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4080,2.0,0.0,2002-03,0.0,SAC,0,shot - 46,0,20200667,24.0,7.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
4081,2.0,0.0,2002-03,1.0,SAC,0,shot - 37,0,20200667,57.36400000000001,4.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
4082,2.0,0.0,2002-03,1.0,SAC,0,shot - 4,0,20200667,38.0,3.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
4083,2.0,0.0,2002-03,1.0,SAC,0,shot - 44,0,20200667,27.0,38.64,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
4084,3.0,0.0,2002-03,0.0,SAC,0,0,shot - 3,20200667,38.0,54.2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
4085,3.0,0.0,2002-03,1.0,SAC,0,0,shot - 3,20200667,26.0,7.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
4086,3.0,0.0,2002-03,1.0,SAC,0,shot - 44,0,20200667,38.0,7.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
4087,3.0,0.0,2002-03,1.0,SAC,0,shot - 1,0,20200667,28.0,6.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
4088,3.0,0.0,2002-03,0.0,SAC,0,shot - 26,0,20200667,64.2,6.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
4089,3.0,0.0,2002-03,1.0,SAC,0,0,shot - 3,20200667,45.0,3.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
4090,3.0,0.0,2002-03,0.0,SAC,0,0,shot - 3,20200667,39.2,3.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4091,3.0,0.0,2002-03,1.0,SAC,0,0,shot - 3,20200667,41.0,1.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
4092,4.0,0.0,2002-03,0.0,SAC,0,0,shot - 3,20200667,26.0,11.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
4093,4.0,0.0,2002-03,0.0,SAC,0,0,shot - 3,20200667,75.36399999999999,10.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
4094,4.0,0.0,2002-03,5.0,SAC,0,0,shot - 3,20200667,44.0,7.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
4095,4.0,0.0,2002-03,5.0,SAC,0,0,shot - 3,20200667,42.2,25.64,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
4096,4.0,0.0,2002-03,5.0,SAC,0,shot - 39,0,20200667,20.0,3.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4097,4.0,0.0,2002-03,0.0,SAC,0,shot - 43,0,20200667,36.0,1.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
4098,3.0,0.0,2002-03,0.0,UTA,1,0,shot - 3,20200676,39.0,20.64,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
4099,1.0,1.0,2002-03,0.0,UTA,1,shot - 39,0,20200676,52.2,8.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4100,1.0,0.0,2002-03,5.0,UTA,1,shot - 19,0,20200676,41.2,5.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
4101,1.0,0.0,2002-03,1.0,UTA,1,0,shot - 4,20200676,44.2,4.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4102,1.0,0.0,2002-03,0.0,UTA,1,0,shot - 3,20200676,30.0,4.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
4103,2.0,0.0,2002-03,1.0,UTA,1,0,shot - 3,20200676,28.0,11.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
4104,2.0,0.0,2002-03,0.0,UTA,1,0,shot - 3,20200676,40.0,99.64,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
4105,2.0,0.0,2002-03,0.0,UTA,1,0,shot - 3,20200676,36.0,1.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
4106,2.0,0.0,2002-03,1.0,UTA,1,0,shot - 3,20200676,28.0,0.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
4107,3.0,0.0,2002-03,0.0,UTA,1,0,shot - 3,20200676,41.0,11.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
4108,3.0,0.0,2002-03,0.0,UTA,1,shot - 39,0,20200676,20.0,10.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4109,3.0,0.0,2002-03,1.0,UTA,1,shot - 39,0,20200676,38.0,8.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
4110,3.0,0.0,2002-03,0.0,UTA,1,0,shot - 3,20200676,37.0,7.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
4111,3.0,0.0,2002-03,1.0,UTA,1,0,shot - 3,20200676,28.0,105.64,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
4112,3.0,0.0,2002-03,1.0,UTA,1,shot - 44,0,20200676,30.2,0.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
4113,3.0,0.0,2002-03,1.0,UTA,1,0,shot - 3,20200676,38.0,0.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
4114,3.0,0.0,2002-03,1.0,UTA,1,shot - 23,0,20200676,57.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
4115,4.0,0.0,2002-03,0.0,UTA,1,shot - 53,0,20200676,69.7,11.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
4116,4.0,0.0,2002-03,1.0,UTA,1,shot - 4,0,20200676,20.0,11.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4117,4.0,0.0,2002-03,1.0,UTA,1,0,shot - 3,20200676,38.0,9.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
4118,4.0,0.0,2002-03,1.0,UTA,1,shot - 9,0,20200676,44.0,105.64,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
4119,4.0,0.0,2002-03,5.0,UTA,1,0,shot - 3,20200676,37.0,7.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
4120,4.0,0.0,2002-03,0.0,UTA,1,0,shot - 3,20200676,46.0,6.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
4121,4.0,0.0,2002-03,1.0,UTA,1,0,shot - 3,20200676,36.0,4.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
4122,4.0,0.0,2002-03,0.0,UTA,1,shot - 36,0,20200676,30.0,40.2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
4123,1.0,0.0,2002-03,1.0,IND,0,shot - 44,0,20200691,38.0,11.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
4124,1.0,0.0,2002-03,0.0,IND,0,shot - 39,0,20200691,22.0,113.64,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
